Team,Att,Cmp,CmpPct,Yds/Att,Pass,TD,INT,Rate,1st,1stPct,20+,40+,Lng,Sck,SckY,Rush,YPC,RushPct,RushPct2,RushPct3,Rec,Yds,Yds/Rec,RecPct1,RecPct2,RecPct3,Rsh,Tot,2-PT,3rd,3rdPct,4th,4thPct,Scrm
Saints,,,,,,,,,,,,,,,,100.0,,22.3,,,177.0,,,56.4,,,,,,229.0,106.0,19.0,5.0,1019.0
Bears,,,,,,,,,,,,,,,,103.0,,23.2,,,143.0,,,52.8,,,,,,228.0,77.0,23.0,15.0,1001.0
Bengals,,,,,,,,,,,,,,,,101.0,,21.0,,,181.0,,,55.9,,,,,,228.0,102.0,11.0,5.0,1038.0
Lions,,,,,,,,,,,,,,,,69.0,,18.4,,,152.0,,,47.6,,,,,,228.0,80.0,20.0,8.0,975.0
Patriots,,,,,,,,,,,,,,,,91.0,,19.2,,,177.0,,,55.3,,,,,,227.0,84.0,14.0,6.0,1042.0
Steelers,,,,,,,,,,,,,,,,77.0,,17.3,,,174.0,,,56.9,,,,,,227.0,82.0,22.0,11.0,1020.0
Ravens,,,,,,,,,,,,,,,,114.0,,20.6,,,121.0,,,55.8,,,,,,226.0,72.0,11.0,7.0,1009.0
Cardinals,,,,,,,,,,,,,,,,80.0,,19.8,,,147.0,,,48.5,,,,,,222.0,83.0,22.0,10.0,981.0
Buccaneers,,,,,,,,,,,,,,,,86.0,,20.4,,,190.0,,,51.5,,,,,,220.0,78.0,15.0,8.0,1036.0
Panthers,,,,,,,,,,,,,,,,114.0,,21.8,,,146.0,,,54.1,,,,,,219.0,78.0,11.0,6.0,1008.0
Vikings,,,,,,,,,,,,,,,,124.0,,25.2,,,194.0,,,58.3,,,,,,219.0,102.0,20.0,8.0,1055.0
Giants,,,,,,,,,,,,,,,,89.0,,23.0,,,184.0,,,53.5,,,,,,218.0,73.0,17.0,2.0,1047.0
Colts,,,,,,,,,,,,,,,,104.0,,23.0,,,212.0,,,55.6,,,,,,217.0,91.0,17.0,11.0,1041.0
Raiders,,,,,,,,,,,,,,,,98.0,,23.2,,,140.0,,,50.4,,,,,,217.0,66.0,25.0,14.0,987.0
Jaguars,,,,,,,,,,,,,,,,118.0,,24.5,,,163.0,,,53.8,,,,,,216.0,80.0,26.0,13.0,1024.0
Rams,,,,,,,,,,,,,,,,97.0,,23.6,,,211.0,,,56.0,,,,,,216.0,92.0,15.0,7.0,1054.0
49ers,,,,,,,,,,,,,,,,117.0,,23.4,,,172.0,,,57.5,,,,,,215.0,86.0,19.0,5.0,1038.0
Redskins,,,,,,,,,,,,,,,,95.0,,22.6,,,156.0,,,55.1,,,,,,215.0,73.0,14.0,8.0,991.0
Bills,,,,,,,,,,,,,,,,96.0,,22.5,,,150.0,,,51.2,,,,,,212.0,67.0,25.0,13.0,980.0
Broncos,,,,,,,,,,,,,,,,133.0,,24.5,,,162.0,,,57.9,,,,,,211.0,82.0,13.0,3.0,1047.0
Titans,,,,,,,,,,,,,,,,83.0,,17.1,,,210.0,,,66.7,,,,,,211.0,86.0,14.0,6.0,1013.0
Packers,,,,,,,,,,,,,,,,127.0,,25.0,,,166.0,,,53.6,,,,,,207.0,85.0,7.0,4.0,999.0
Jets,,,,,,,,,,,,,,,,78.0,,19.1,,,181.0,,,58.0,,,,,,206.0,82.0,13.0,6.0,936.0
Dolphins,,,,,,,,,,,,,,,,99.0,,20.3,,,144.0,,,56.0,,,,,,205.0,67.0,10.0,5.0,968.0
Seahawks,,,,,,,,,,,,,,,,121.0,,26.7,,,190.0,,,59.9,,,,,,205.0,96.0,7.0,2.0,1017.0
Texans,,,,,,,,,,,,,,,,86.0,,20.4,,,127.0,,,51.2,,,,,,204.0,63.0,14.0,9.0,896.0
Browns,,,,,,,,,,,,,,,,91.0,,22.1,,,153.0,,,48.9,,,,,,202.0,74.0,18.0,6.0,961.0
Chiefs,,,,,,,,,,,,,,,,120.0,,26.9,,,201.0,,,59.3,,,,,,201.0,84.0,10.0,6.0,1003.0
Chargers,,,,,,,,,,,,,,,,117.0,,28.1,,,146.0,,,49.2,,,,,,197.0,62.0,19.0,10.0,971.0
Falcons,,,,,,,,,,,,,,,,99.0,,22.8,,,127.0,,,55.2,,,,,,194.0,58.0,11.0,6.0,930.0
Eagles,,,,,,,,,,,,,,,,105.0,,25.2,,,156.0,,,55.9,,,,,,190.0,69.0,7.0,3.0,944.0
Packers,598.0,382.0,63.9,7.6,4550.0,36.0,19.0,93.8,228.0,38.1,58.0,13.0,79,14.0,101.0,,,,,,,,,,,,,,,,,,,
Titans,589.0,356.0,60.4,6.7,3933.0,27.0,19.0,82.1,200.0,34.0,46.0,5.0,48,44.0,317.0,,,,,,,,,,,,,,,,,,,
Dolphins,586.0,309.0,52.7,5.8,3391.0,19.0,26.0,62.5,165.0,28.2,38.0,5.0,76,52.0,326.0,,,,,,,,,,,,,,,,,,,
Raiders,582.0,330.0,56.7,6.9,4019.0,24.0,22.0,76.1,176.0,30.2,55.0,11.0,63T,30.0,161.0,,,,,,,,,,,,,,,,,,,
Rams,580.0,372.0,64.1,8.0,4615.0,23.0,22.0,86.1,203.0,35.0,67.0,8.0,75T,50.0,362.0,,,,,,,,,,,,,,,,,,,
Chiefs,561.0,370.0,66.0,8.3,4633.0,27.0,17.0,94.9,228.0,40.6,60.0,10.0,70T,32.0,227.0,,,,,,,,,,,,,,,,,,,
49ers,561.0,325.0,57.9,6.2,3455.0,16.0,21.0,69.9,172.0,30.7,28.0,3.0,65,52.0,319.0,,,,,,,,,,,,,,,,,,,
Vikings,552.0,380.0,68.8,8.6,4754.0,39.0,12.0,109.8,225.0,40.8,64.0,18.0,82T,46.0,238.0,,,,,,,,,,,,,,,,,,,
Eagles,547.0,336.0,61.4,7.7,4208.0,32.0,11.0,96.4,188.0,34.4,56.0,20.0,80T,37.0,229.0,,,,,,,,,,,,,,,,,,,
Saints,542.0,309.0,57.0,7.0,3810.0,21.0,16.0,79.5,177.0,32.7,57.0,5.0,57,41.0,223.0,,,,,,,,,,,,,,,,,,,
Panthers,536.0,311.0,58.0,7.3,3889.0,29.0,15.0,87.0,192.0,35.8,60.0,8.0,63T,33.0,246.0,,,,,,,,,,,,,,,,,,,
Bengals,536.0,324.0,60.4,6.6,3520.0,23.0,22.0,77.0,172.0,32.1,42.0,8.0,76T,31.0,219.0,,,,,,,,,,,,,,,,,,,
Cardinals,533.0,299.0,56.1,6.0,3202.0,14.0,18.0,68.6,152.0,28.5,38.0,4.0,48,39.0,320.0,,,,,,,,,,,,,,,,,,,
Seahawks,532.0,304.0,57.1,7.0,3715.0,23.0,18.0,79.1,189.0,35.5,47.0,4.0,60,34.0,176.0,,,,,,,,,,,,,,,,,,,
Colts,527.0,353.0,67.0,9.0,4732.0,51.0,10.0,119.7,238.0,45.2,69.0,14.0,80,14.0,109.0,,,,,,,,,,,,,,,,,,,
Broncos,521.0,303.0,58.2,7.8,4089.0,27.0,20.0,84.5,184.0,35.3,55.0,9.0,85T,15.0,90.0,,,,,,,,,,,,,,,,,,,
Cowboys,519.0,308.0,59.3,7.0,3636.0,19.0,23.0,74.5,171.0,33.0,48.0,4.0,53,36.0,208.0,,,,,,,,,,,,,,,,,,,
Redskins,514.0,288.0,56.0,5.6,2874.0,18.0,17.0,70.0,156.0,30.4,27.0,5.0,51,38.0,242.0,,,,,,,,,,,,,,,,,,,
Jaguars,513.0,305.0,59.4,6.5,3315.0,17.0,11.0,80.7,161.0,31.4,35.0,7.0,65,32.0,156.0,,,,,,,,,,,,,,,,,,,
Buccaneers,512.0,340.0,66.4,7.4,3773.0,24.0,18.0,89.1,175.0,34.2,50.0,10.0,75T,44.0,299.0,,,,,,,,,,,,,,,,,,,
Lions,505.0,285.0,56.4,6.2,3124.0,19.0,13.0,76.7,142.0,28.1,43.0,4.0,62,37.0,208.0,,,,,,,,,,,,,,,,,,,
Patriots,485.0,293.0,60.4,7.7,3750.0,29.0,14.0,92.6,193.0,39.8,53.0,10.0,50T,26.0,162.0,,,,,,,,,,,,,,,,,,,
Giants,475.0,269.0,56.6,6.5,3097.0,12.0,13.0,73.5,143.0,30.1,35.0,10.0,62T,52.0,279.0,,,,,,,,,,,,,,,,,,,
Bears,471.0,249.0,52.9,5.6,2641.0,9.0,16.0,61.7,121.0,25.7,33.0,5.0,63T,66.0,449.0,,,,,,,,,,,,,,,,,,,
Texans,471.0,286.0,60.7,7.5,3547.0,16.0,14.0,83.0,174.0,36.9,47.0,6.0,69,49.0,301.0,,,,,,,,,,,,,,,,,,,
Ravens,465.0,258.0,55.5,5.5,2559.0,13.0,11.0,70.7,135.0,29.0,28.0,4.0,57T,35.0,247.0,,,,,,,,,,,,,,,,,,,
Bills,461.0,262.0,56.8,6.6,3032.0,21.0,17.0,76.7,149.0,32.3,33.0,9.0,69,38.0,215.0,,,,,,,,,,,,,,,,,,,
Chargers,450.0,288.0,64.0,7.8,3506.0,29.0,8.0,102.0,160.0,35.6,45.0,9.0,79,21.0,149.0,,,,,,,,,,,,,,,,,,,
Browns,439.0,251.0,57.2,7.0,3076.0,21.0,21.0,74.9,125.0,28.5,36.0,14.0,99,41.0,252.0,,,,,,,,,,,,,,,,,,,
Jets,438.0,282.0,64.4,7.4,3231.0,19.0,11.0,90.5,163.0,37.2,38.0,9.0,69T,31.0,181.0,,,,,,,,,,,,,,,,,,,
Falcons,395.0,217.0,54.9,6.8,2692.0,15.0,16.0,72.0,120.0,30.4,39.0,9.0,62,50.0,280.0,,,,,,,,,,,,,,,,,,,
Steelers,358.0,228.0,63.7,8.3,2970.0,20.0,13.0,93.2,147.0,41.1,47.0,7.0,58,36.0,250.0,,,,,,,,,,,,,,,,,,,
Steelers,618.0,,,,,16.0,,,,,10.0,1.0,58T,,,2464.0,4.0,134.0,21.7,6.0,,,,,,,,,,,,,,
Broncos,534.0,,,,,13.0,,,,,13.0,3.0,51,,,2333.0,4.4,127.0,23.8,13.0,,,,,,,,,,,,,,
Jets,527.0,,,,,15.0,,,,,10.0,0.0,33T,,,2388.0,4.5,135.0,25.6,6.0,,,,,,,,,,,,,,
Chargers,525.0,,,,,24.0,,,,,19.0,4.0,52,,,2185.0,4.2,130.0,24.8,11.0,,,,,,,,,,,,,,
Falcons,524.0,,,,,20.0,,,,,22.0,4.0,60T,,,2672.0,5.1,133.0,25.4,8.0,,,,,,,,,,,,,,
Patriots,524.0,,,,,15.0,,,,,9.0,1.0,44,,,2134.0,4.1,120.0,22.9,7.0,,,,,,,,,,,,,,
Chiefs,496.0,,,,,31.0,,,,,10.0,2.0,46,,,2289.0,4.6,138.0,27.8,7.0,,,,,,,,,,,,,,
Ravens,491.0,,,,,11.0,,,,,8.0,3.0,75,,,2063.0,4.2,102.0,20.8,7.0,,,,,,,,,,,,,,
Bills,483.0,,,,,15.0,,,,,16.0,2.0,48T,,,1874.0,3.9,102.0,21.1,10.0,,,,,,,,,,,,,,
Texans,481.0,,,,,16.0,,,,,7.0,2.0,44,,,1882.0,3.9,103.0,21.4,9.0,,,,,,,,,,,,,,
Cardinals,475.0,,,,,15.0,,,,,9.0,1.0,62T,,,1668.0,3.5,86.0,18.1,8.0,,,,,,,,,,,,,,
Redskins,471.0,,,,,6.0,,,,,8.0,1.0,64T,,,1765.0,3.8,91.0,19.3,8.0,,,,,,,,,,,,,,
Seahawks,468.0,,,,,17.0,,,,,15.0,2.0,44,,,2095.0,4.5,110.0,23.5,11.0,,,,,,,,,,,,,,
Cowboys,449.0,,,,,14.0,,,,,10.0,1.0,53,,,1769.0,3.9,100.0,22.3,10.0,,,,,,,,,,,,,,
Jaguars,446.0,,,,,9.0,,,,,9.0,2.0,46,,,1850.0,4.2,88.0,19.7,5.0,,,,,,,,,,,,,,
Browns,441.0,,,,,6.0,,,,,9.0,1.0,46,,,1657.0,3.8,94.0,21.3,16.0,,,,,,,,,,,,,,
Packers,441.0,,,,,9.0,,,,,11.0,2.0,90,,,1908.0,4.3,97.0,22.0,9.0,,,,,,,,,,,,,,
Bengals,437.0,,,,,14.0,,,,,8.0,1.0,52T,,,1839.0,4.2,93.0,21.3,8.0,,,,,,,,,,,,,,
Bears,430.0,,,,,10.0,,,,,7.0,2.0,54T,,,1624.0,3.8,84.0,19.5,10.0,,,,,,,,,,,,,,
Colts,427.0,,,,,10.0,,,,,7.0,2.0,55,,,1852.0,4.3,94.0,22.0,9.0,,,,,,,,,,,,,,
Giants,424.0,,,,,18.0,,,,,12.0,3.0,72T,,,1904.0,4.5,105.0,24.8,9.0,,,,,,,,,,,,,,
Panthers,422.0,,,,,10.0,,,,,4.0,2.0,71T,,,1582.0,3.8,85.0,20.1,5.0,,,,,,,,,,,,,,
Titans,420.0,,,,,12.0,,,,,9.0,2.0,52,,,1871.0,4.4,85.0,20.2,10.0,,,,,,,,,,,,,,
49ers,413.0,,,,,10.0,,,,,7.0,1.0,60,,,1449.0,3.5,83.0,20.1,11.0,,,,,,,,,,,,,,
Lions,407.0,,,,,7.0,,,,,14.0,2.0,74,,,1777.0,4.4,92.0,22.6,3.0,,,,,,,,,,,,,,
Saints,406.0,,,,,15.0,,,,,10.0,3.0,71T,,,1606.0,4.0,82.0,20.2,12.0,,,,,,,,,,,,,,
Buccaneers,393.0,,,,,9.0,,,,,5.0,2.0,78T,,,1489.0,3.8,74.0,18.8,10.0,,,,,,,,,,,,,,
Vikings,387.0,,,,,8.0,,,,,8.0,1.0,49,,,1823.0,4.7,98.0,25.3,9.0,,,,,,,,,,,,,,
Dolphins,384.0,,,,,10.0,,,,,7.0,1.0,53,,,1339.0,3.5,71.0,18.5,9.0,,,,,,,,,,,,,,
Rams,381.0,,,,,11.0,,,,,7.0,3.0,48,,,1624.0,4.3,96.0,25.2,2.0,,,,,,,,,,,,,,
Eagles,376.0,,,,,10.0,,,,,11.0,3.0,50,,,1639.0,4.4,87.0,23.1,2.0,,,,,,,,,,,,,,
Raiders,327.0,,,,,10.0,,,,,6.0,3.0,60T,,,1295.0,4.0,75.0,22.9,6.0,,,,,,,,,,,,,,
Packers,,,,,,36.0,,,,,58.0,13.0,79,,,,,,,,382.0,4550.0,11.9,228.0,59.7,5.0,,,,,,,,
Vikings,,,,,,39.0,,,,,64.0,18.0,82,,,,,,,,380.0,4754.0,12.5,225.0,59.2,3.0,,,,,,,,
Rams,,,,,,23.0,,,,,67.0,8.0,75,,,,,,,,372.0,4615.0,12.4,202.0,54.3,14.0,,,,,,,,
Chiefs,,,,,,27.0,,,,,60.0,10.0,70,,,,,,,,370.0,4633.0,12.5,228.0,61.6,2.0,,,,,,,,
Titans,,,,,,27.0,,,,,46.0,5.0,48,,,,,,,,356.0,3933.0,11.0,200.0,56.2,5.0,,,,,,,,
Colts,,,,,,51.0,,,,,69.0,14.0,80,,,,,,,,353.0,4732.0,13.4,238.0,67.4,4.0,,,,,,,,
Buccaneers,,,,,,24.0,,,,,50.0,10.0,75,,,,,,,,340.0,3773.0,11.1,175.0,51.5,6.0,,,,,,,,
Eagles,,,,,,32.0,,,,,56.0,20.0,80T,,,,,,,,336.0,4208.0,12.5,188.0,56.0,4.0,,,,,,,,
Raiders,,,,,,24.0,,,,,55.0,11.0,63,,,,,,,,330.0,4019.0,12.2,176.0,53.3,5.0,,,,,,,,
49ers,,,,,,16.0,,,,,28.0,3.0,65,,,,,,,,325.0,3455.0,10.6,172.0,52.9,2.0,,,,,,,,
Bengals,,,,,,23.0,,,,,42.0,8.0,76,,,,,,,,324.0,3520.0,10.9,172.0,53.1,2.0,,,,,,,,
Panthers,,,,,,29.0,,,,,59.0,8.0,63,,,,,,,,311.0,3889.0,12.5,192.0,61.7,3.0,,,,,,,,
Dolphins,,,,,,19.0,,,,,38.0,5.0,76,,,,,,,,309.0,3391.0,11.0,165.0,53.4,5.0,,,,,,,,
Saints,,,,,,21.0,,,,,57.0,5.0,57,,,,,,,,309.0,3810.0,12.3,177.0,57.3,3.0,,,,,,,,
Cowboys,,,,,,19.0,,,,,48.0,4.0,53,,,,,,,,308.0,3636.0,11.8,171.0,55.5,5.0,,,,,,,,
Jaguars,,,,,,17.0,,,,,35.0,7.0,65,,,,,,,,305.0,3315.0,10.9,161.0,52.8,7.0,,,,,,,,
Seahawks,,,,,,23.0,,,,,47.0,4.0,60T,,,,,,,,304.0,3715.0,12.2,189.0,62.2,4.0,,,,,,,,
Broncos,,,,,,27.0,,,,,55.0,9.0,85,,,,,,,,303.0,4089.0,13.5,184.0,60.7,4.0,,,,,,,,
Cardinals,,,,,,14.0,,,,,38.0,4.0,48,,,,,,,,299.0,3202.0,10.7,152.0,50.8,4.0,,,,,,,,
Patriots,,,,,,29.0,,,,,53.0,10.0,50,,,,,,,,293.0,3750.0,12.8,193.0,65.9,4.0,,,,,,,,
Chargers,,,,,,29.0,,,,,45.0,9.0,79,,,,,,,,288.0,3506.0,12.2,160.0,55.6,5.0,,,,,,,,
Redskins,,,,,,18.0,,,,,27.0,5.0,51T,,,,,,,,288.0,2874.0,10.0,156.0,54.2,1.0,,,,,,,,
Texans,,,,,,16.0,,,,,47.0,6.0,69,,,,,,,,286.0,3547.0,12.4,174.0,60.8,4.0,,,,,,,,
Lions,,,,,,19.0,,,,,44.0,3.0,50,,,,,,,,285.0,3124.0,11.0,142.0,49.8,2.0,,,,,,,,
Jets,,,,,,19.0,,,,,38.0,9.0,69,,,,,,,,282.0,3231.0,11.5,163.0,57.8,3.0,,,,,,,,
Giants,,,,,,12.0,,,,,35.0,10.0,62,,,,,,,,269.0,3097.0,11.5,143.0,53.2,5.0,,,,,,,,
Bills,,,,,,21.0,,,,,33.0,9.0,69,,,,,,,,262.0,3032.0,11.6,149.0,56.9,4.0,,,,,,,,
Ravens,,,,,,13.0,,,,,28.0,4.0,57,,,,,,,,258.0,2559.0,9.9,135.0,52.3,4.0,,,,,,,,
Browns,,,,,,21.0,,,,,36.0,14.0,99,,,,,,,,251.0,3076.0,12.2,125.0,49.8,2.0,,,,,,,,
Bears,,,,,,9.0,,,,,33.0,5.0,63,,,,,,,,249.0,2641.0,10.6,121.0,48.6,3.0,,,,,,,,
Steelers,,,,,,20.0,,,,,47.0,7.0,58,,,,,,,,228.0,2970.0,13.0,147.0,64.5,5.0,,,,,,,,
Falcons,,,,,,15.0,,,,,39.0,9.0,62,,,,,,,,217.0,2692.0,12.4,120.0,55.3,2.0,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,31.0,61.0,0.0,,,,,
Chargers,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,24.0,55.0,0.0,,,,,
Falcons,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,20.0,40.0,0.0,,,,,
Giants,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,18.0,32.0,0.0,,,,,
Seahawks,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,17.0,43.0,0.0,,,,,
Texans,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,16.0,34.0,1.0,,,,,
Steelers,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,16.0,39.0,0.0,,,,,
Bills,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,15.0,46.0,0.0,,,,,
Patriots,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,15.0,46.0,1.0,,,,,
Saints,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,15.0,39.0,0.0,,,,,
Jets,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,15.0,37.0,0.0,,,,,
Cardinals,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,15.0,30.0,1.0,,,,,
Bengals,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,14.0,41.0,0.0,,,,,
Cowboys,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,14.0,33.0,0.0,,,,,
Broncos,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,13.0,42.0,0.0,,,,,
Titans,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,12.0,40.0,1.0,,,,,
Ravens,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,11.0,32.0,0.0,,,,,
Rams,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,11.0,34.0,3.0,,,,,
Panthers,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,10.0,41.0,0.0,,,,,
Bears,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,10.0,25.0,1.0,,,,,
Colts,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,10.0,65.0,1.0,,,,,
Raiders,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,10.0,35.0,0.0,,,,,
Dolphins,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,10.0,30.0,0.0,,,,,
Eagles,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,10.0,44.0,0.0,,,,,
49ers,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,10.0,27.0,1.0,,,,,
Packers,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,9.0,47.0,0.0,,,,,
Jaguars,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,9.0,26.0,0.0,,,,,
Buccaneers,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,9.0,35.0,0.0,,,,,
Vikings,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,8.0,49.0,1.0,,,,,
Lions,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,7.0,32.0,0.0,,,,,
Browns,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,6.0,29.0,0.0,,,,,
Redskins,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,6.0,26.0,0.0,,,,,
Cardinals,,,,,,,,,,,,,,,,86.0,,18.1,,,152.0,,,50.8,,,,,,241.0,84.0,12.0,5.0,1047.0
Dolphins,,,,,,,,,,,,,,,,71.0,,18.5,,,165.0,,,53.4,,,,,,232.0,80.0,16.0,8.0,1022.0
Ravens,,,,,,,,,,,,,,,,102.0,,20.8,,,135.0,,,52.3,,,,,,231.0,81.0,15.0,4.0,991.0
Bears,,,,,,,,,,,,,,,,84.0,,19.5,,,121.0,,,48.6,,,,,,223.0,56.0,19.0,6.0,967.0
49ers,,,,,,,,,,,,,,,,83.0,,20.1,,,172.0,,,52.9,,,,,,222.0,72.0,19.0,14.0,1026.0
Redskins,,,,,,,,,,,,,,,,91.0,,19.3,,,156.0,,,54.2,,,,,,221.0,70.0,11.0,4.0,1023.0
Bengals,,,,,,,,,,,,,,,,93.0,,21.3,,,172.0,,,53.1,,,,,,219.0,88.0,12.0,6.0,1004.0
Steelers,,,,,,,,,,,,,,,,134.0,,21.7,,,147.0,,,64.5,,,,,,219.0,94.0,12.0,7.0,1012.0
Titans,,,,,,,,,,,,,,,,85.0,,20.2,,,200.0,,,56.2,,,,,,217.0,74.0,27.0,12.0,1053.0
Jaguars,,,,,,,,,,,,,,,,88.0,,19.7,,,161.0,,,52.8,,,,,,217.0,80.0,18.0,10.0,991.0
Bills,,,,,,,,,,,,,,,,102.0,,21.1,,,149.0,,,56.9,,,,,,215.0,77.0,21.0,10.0,982.0
Cowboys,,,,,,,,,,,,,,,,100.0,,22.3,,,171.0,,,55.5,,,,,,214.0,78.0,17.0,9.0,1004.0
Jets,,,,,,,,,,,,,,,,135.0,,25.6,,,163.0,,,57.8,,,,,,214.0,91.0,8.0,4.0,996.0
Texans,,,,,,,,,,,,,,,,103.0,,21.4,,,174.0,,,60.8,,,,,,211.0,81.0,21.0,13.0,1001.0
Rams,,,,,,,,,,,,,,,,96.0,,25.2,,,202.0,,,54.3,,,,,,211.0,89.0,19.0,13.0,1011.0
Lions,,,,,,,,,,,,,,,,92.0,,22.6,,,142.0,,,49.8,,,,,,210.0,66.0,16.0,6.0,949.0
Saints,,,,,,,,,,,,,,,,82.0,,20.2,,,177.0,,,57.3,,,,,,210.0,70.0,18.0,9.0,989.0
Seahawks,,,,,,,,,,,,,,,,110.0,,23.5,,,189.0,,,62.2,,,,,,210.0,76.0,11.0,6.0,1034.0
Chargers,,,,,,,,,,,,,,,,130.0,,24.8,,,160.0,,,55.6,,,,,,208.0,97.0,8.0,5.0,996.0
Packers,,,,,,,,,,,,,,,,97.0,,22.0,,,228.0,,,59.7,,,,,,207.0,98.0,14.0,8.0,1053.0
Panthers,,,,,,,,,,,,,,,,85.0,,20.1,,,192.0,,,61.7,,,,,,206.0,83.0,8.0,3.0,991.0
Broncos,,,,,,,,,,,,,,,,127.0,,23.8,,,184.0,,,60.7,,,,,,206.0,78.0,14.0,7.0,1070.0
Patriots,,,,,,,,,,,,,,,,120.0,,22.9,,,193.0,,,65.9,,,,,,206.0,93.0,10.0,4.0,1035.0
Browns,,,,,,,,,,,,,,,,94.0,,21.3,,,125.0,,,49.8,,,,,,203.0,59.0,16.0,7.0,921.0
Falcons,,,,,,,,,,,,,,,,133.0,,25.4,,,120.0,,,55.3,,,,,,201.0,73.0,18.0,10.0,969.0
Raiders,,,,,,,,,,,,,,,,75.0,,22.9,,,176.0,,,53.3,,,,,,200.0,71.0,14.0,7.0,939.0
Buccaneers,,,,,,,,,,,,,,,,74.0,,18.8,,,175.0,,,51.5,,,,,,199.0,75.0,6.0,4.0,949.0
Vikings,,,,,,,,,,,,,,,,98.0,,25.3,,,225.0,,,59.2,,,,,,195.0,102.0,10.0,6.0,985.0
Eagles,,,,,,,,,,,,,,,,87.0,,23.1,,,188.0,,,56.0,,,,,,195.0,72.0,4.0,0.0,960.0
Chiefs,,,,,,,,,,,,,,,,138.0,,27.8,,,228.0,,,61.6,,,,,,193.0,91.0,14.0,4.0,1089.0
Giants,,,,,,,,,,,,,,,,105.0,,24.8,,,143.0,,,53.2,,,,,,190.0,56.0,19.0,4.0,951.0
Colts,,,,,,,,,,,,,,,,94.0,,22.0,,,238.0,,,67.4,,,,,,164.0,70.0,7.0,4.0,968.0
Cardinals,670.0,419.0,62.5,7.0,4723.0,21.0,21.0,81.0,224.0,33.4,63.0,12.0,63,45.0,286.0,,,,,,,,,,,,,,,,,,,
Packers,626.0,383.0,61.2,6.3,3964.0,20.0,30.0,70.1,206.0,32.9,40.0,7.0,59T,27.0,198.0,,,,,,,,,,,,,,,,,,,
Eagles,620.0,337.0,54.4,6.3,3903.0,21.0,20.0,71.5,182.0,29.4,49.0,8.0,91,42.0,226.0,,,,,,,,,,,,,,,,,,,
Rams,599.0,392.0,65.4,7.3,4351.0,23.0,24.0,83.0,209.0,34.9,41.0,8.0,83,46.0,315.0,,,,,,,,,,,,,,,,,,,
Titans,594.0,358.0,60.3,6.4,3797.0,20.0,14.0,80.4,191.0,32.2,34.0,8.0,57,31.0,200.0,,,,,,,,,,,,,,,,,,,
Raiders,591.0,316.0,53.5,6.6,3883.0,21.0,14.0,76.0,189.0,32.0,50.0,6.0,79T,45.0,301.0,,,,,,,,,,,,,,,,,,,
Patriots,564.0,352.0,62.4,7.7,4322.0,28.0,15.0,91.5,204.0,36.2,62.0,9.0,71,28.0,202.0,,,,,,,,,,,,,,,,,,,
Ravens,562.0,335.0,59.6,6.0,3381.0,17.0,21.0,71.3,163.0,29.0,39.0,2.0,48T,42.0,293.0,,,,,,,,,,,,,,,,,,,
Giants,558.0,294.0,52.7,6.7,3762.0,24.0,17.0,75.7,172.0,30.8,49.0,8.0,78T,28.0,184.0,,,,,,,,,,,,,,,,,,,
Dolphins,556.0,291.0,52.3,6.2,3458.0,22.0,16.0,72.8,159.0,28.6,44.0,11.0,77,26.0,158.0,,,,,,,,,,,,,,,,,,,
Saints,553.0,308.0,55.7,6.5,3604.0,15.0,24.0,66.6,182.0,32.9,47.0,5.0,66,41.0,261.0,,,,,,,,,,,,,,,,,,,
Bengals,538.0,362.0,67.3,7.3,3935.0,32.0,14.0,97.6,203.0,37.7,43.0,9.0,70T,21.0,115.0,,,,,,,,,,,,,,,,,,,
