Team,FGM,Att,FG,1-19 >,20-29 >,30-39 >,40-49 >,50-59 >,60+ >,Lng,FGPct,XPM,XP,KRet,PRet,KO,Yds,TB,TBPct,Ret,RetPct,OSK,OSKPct,OOB,TD,Cmp,CmpPct,Yds/Att,Pass,INT,Rate,1st,1stPct,20+,40+,Sck,SckY,Avg,FC,FUM
Packers,33.0,,86.8,,,,,,,,,32.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,31.0,,88.6,,,,,,,,,29.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jaguars,29.0,,87.9,,,,,,,,,38.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,29.0,,87.9,,,,,,,,,34.0,94.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,28.0,,90.3,,,,,,,,,33.0,97.1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,28.0,,82.4,,,,,,,,,42.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,27.0,,79.4,,,,,,,,,37.0,97.4,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,27.0,,81.8,,,,,,,,,25.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,26.0,,74.3,,,,,,,,,31.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Broncos,26.0,,76.5,,,,,,,,,53.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,25.0,,80.6,,,,,,,,,23.0,100.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,25.0,,75.8,,,,,,,,,27.0,100.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,25.0,,92.6,,,,,,,,,46.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,25.0,,83.3,,,,,,,,,32.0,97.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,24.0,,80.0,,,,,,,,,29.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,24.0,,88.9,,,,,,,,,58.0,100.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,23.0,,67.6,,,,,,,,,56.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,23.0,,79.3,,,,,,,,,37.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,23.0,,67.6,,,,,,,,,32.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Vikings,22.0,,95.6,,,,,,,,,45.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,21.0,,77.8,,,,,,,,,21.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,21.0,,80.8,,,,,,,,,33.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,20.0,,66.7,,,,,,,,,27.0,93.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,19.0,,76.0,,,,,,,,,37.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,18.0,,72.0,,,,,,,,,27.0,100.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,17.0,,70.8,,,,,,,,,40.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,16.0,,69.6,,,,,,,,,18.0,94.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
49ers,15.0,,68.2,,,,,,,,,43.0,95.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,14.0,,82.4,,,,,,,,,17.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bengals,12.0,,57.1,,,,,,,,,21.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,,,,,,,,,,,,,,,,106.0,6635.0,16.0,15.1,87.0,23.4,0.0,0.0,3.0,1.0,,,,,,,,,,,,,,,
Broncos,,,,,,,,,,,,,,,,99.0,6319.0,8.0,8.1,90.0,21.5,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Raiders,,,,,,,,,,,,,,,,96.0,6189.0,15.0,15.6,80.0,21.1,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Colts,,,,,,,,,,,,,,,,89.0,5729.0,14.0,15.7,73.0,23.8,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
Buccaneers,,,,,,,,,,,,,,,,87.0,5633.0,11.0,12.6,74.0,22.8,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jaguars,,,,,,,,,,,,,,,,84.0,4922.0,5.0,6.0,73.0,20.9,4.0,0.0,3.0,1.0,,,,,,,,,,,,,,,
Packers,,,,,,,,,,,,,,,,83.0,5088.0,5.0,6.0,76.0,21.6,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Ravens,,,,,,,,,,,,,,,,82.0,5077.0,7.0,8.5,73.0,21.3,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Vikings,,,,,,,,,,,,,,,,82.0,5221.0,11.0,13.4,69.0,22.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
49ers,,,,,,,,,,,,,,,,81.0,5071.0,13.0,16.0,63.0,21.6,3.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Eagles,,,,,,,,,,,,,,,,80.0,4874.0,4.0,5.0,72.0,21.1,4.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
Panthers,,,,,,,,,,,,,,,,79.0,4696.0,8.0,10.1,64.0,17.5,2.0,0.0,5.0,0.0,,,,,,,,,,,,,,,
Titans,,,,,,,,,,,,,,,,78.0,4764.0,1.0,1.3,76.0,20.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Chiefs,,,,,,,,,,,,,,,,78.0,4883.0,6.0,7.7,70.0,24.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Dolphins,,,,,,,,,,,,,,,,77.0,4644.0,7.0,9.1,68.0,18.5,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Saints,,,,,,,,,,,,,,,,77.0,4909.0,3.0,3.9,71.0,24.6,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
Steelers,,,,,,,,,,,,,,,,77.0,4431.0,4.0,5.2,69.0,21.7,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,
Bills,,,,,,,,,,,,,,,,75.0,4036.0,1.0,1.3,70.0,21.8,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,
Lions,,,,,,,,,,,,,,,,73.0,4737.0,10.0,13.7,59.0,22.5,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Giants,,,,,,,,,,,,,,,,73.0,4335.0,4.0,5.5,67.0,22.5,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
Jets,,,,,,,,,,,,,,,,73.0,4680.0,9.0,12.3,62.0,23.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
Seahawks,,,,,,,,,,,,,,,,71.0,4347.0,4.0,5.6,64.0,19.3,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Cowboys,,,,,,,,,,,,,,,,70.0,4369.0,10.0,14.3,56.0,21.5,4.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
Patriots,,,,,,,,,,,,,,,,69.0,4352.0,7.0,10.1,62.0,21.8,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Redskins,,,,,,,,,,,,,,,,66.0,4126.0,4.0,6.1,60.0,25.5,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
Chargers,,,,,,,,,,,,,,,,65.0,4000.0,2.0,3.1,61.0,24.1,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
Falcons,,,,,,,,,,,,,,,,64.0,4171.0,12.0,18.8,50.0,24.6,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
Bears,,,,,,,,,,,,,,,,58.0,3472.0,4.0,6.9,51.0,21.7,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,55.0,2923.0,2.0,3.6,46.0,18.0,6.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
Browns,,,,,,,,,,,,,,,,49.0,2966.0,6.0,12.2,42.0,24.1,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Bengals,,,,,,,,,,,,,,,,48.0,2867.0,4.0,8.3,42.0,21.4,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Jets,,637.0,,,,,,,,63T,,,,,,,,,,,,,,,23.0,352.0,55.3,6.3,4023.0,29.0,67.5,192.0,30.1,50.0,8.0,20.0,99.0,,,
Packers,,600.0,,,,,,,,67,,,,,,,,,,,,,,,21.0,348.0,58.0,6.5,3916.0,16.0,78.2,197.0,32.8,43.0,7.0,34.0,238.0,,,
Rams,,587.0,,,,,,,,85T,,,,,,,,,,,,,,,37.0,380.0,64.7,9.4,5492.0,23.0,99.7,247.0,42.1,79.0,21.0,44.0,260.0,,,
49ers,,583.0,,,,,,,,69T,,,,,,,,,,,,,,,32.0,366.0,62.8,7.6,4400.0,10.0,97.0,211.0,36.2,61.0,9.0,25.0,161.0,,,
Chiefs,,582.0,,,,,,,,81T,,,,,,,,,,,,,,,29.0,342.0,58.8,7.6,4408.0,15.0,88.5,207.0,35.6,59.0,8.0,34.0,259.0,,,
Chargers,,578.0,,,,,,,,83,,,,,,,,,,,,,,,19.0,311.0,53.8,6.1,3540.0,30.0,61.8,156.0,27.0,41.0,9.0,53.0,302.0,,,
Eagles,,575.0,,,,,,,,70T,,,,,,,,,,,,,,,21.0,331.0,57.6,5.9,3386.0,15.0,75.9,182.0,31.6,46.0,5.0,45.0,262.0,,,
Colts,,571.0,,,,,,,,78T,,,,,,,,,,,,,,,33.0,357.0,62.5,7.7,4413.0,15.0,94.7,213.0,37.3,51.0,8.0,20.0,131.0,,,
Broncos,,569.0,,,,,,,,61,,,,,,,,,,,,,,,28.0,354.0,62.2,7.8,4464.0,12.0,94.2,223.0,39.2,65.0,10.0,30.0,221.0,,,
Panthers,,566.0,,,,,,,,54,,,,,,,,,,,,,,,19.0,340.0,60.1,6.8,3850.0,19.0,77.7,201.0,35.5,47.0,2.0,69.0,382.0,,,
Patriots,,565.0,,,,,,,,59T,,,,,,,,,,,,,,,18.0,328.0,58.0,6.1,3461.0,15.0,75.5,172.0,30.4,35.0,5.0,48.0,280.0,,,
Redskins,,561.0,,,,,,,,77T,,,,,,,,,,,,,,,18.0,343.0,61.1,6.9,3892.0,21.0,77.0,185.0,33.0,43.0,10.0,32.0,244.0,,,
Cardinals,,554.0,,,,,,,,70,,,,,,,,,,,,,,,16.0,316.0,57.0,6.3,3478.0,24.0,67.4,156.0,28.2,41.0,11.0,35.0,228.0,,,
Bills,,546.0,,,,,,,,74T,,,,,,,,,,,,,,,20.0,312.0,57.1,7.2,3936.0,10.0,84.3,174.0,31.9,59.0,9.0,59.0,360.0,,,
Jaguars,,545.0,,,,,,,,67,,,,,,,,,,,,,,,22.0,333.0,61.1,7.2,3947.0,15.0,85.2,193.0,35.4,42.0,11.0,54.0,289.0,,,
Bears,,542.0,,,,,,,,68,,,,,,,,,,,,,,,12.0,304.0,56.1,5.5,3005.0,16.0,67.0,143.0,26.4,29.0,6.0,34.0,200.0,,,
Giants,,529.0,,,,,,,,59,,,,,,,,,,,,,,,22.0,311.0,58.8,6.8,3610.0,13.0,83.1,195.0,36.9,46.0,7.0,28.0,243.0,,,
Falcons,,514.0,,,,,,,,55,,,,,,,,,,,,,,,14.0,285.0,55.4,6.2,3166.0,20.0,66.8,156.0,30.4,32.0,5.0,61.0,386.0,,,
Seahawks,,507.0,,,,,,,,71,,,,,,,,,,,,,,,21.0,308.0,60.8,6.3,3198.0,21.0,75.5,168.0,33.1,26.0,7.0,46.0,238.0,,,
Ravens,,504.0,,,,,,,,59,,,,,,,,,,,,,,,20.0,287.0,56.9,6.2,3102.0,19.0,72.7,156.0,31.0,37.0,8.0,43.0,287.0,,,
Lions,,503.0,,,,,,,,59T,,,,,,,,,,,,,,,14.0,277.0,55.1,6.0,2992.0,19.0,66.3,143.0,28.4,35.0,4.0,53.0,317.0,,,
Saints,,497.0,,,,,,,,53,,,,,,,,,,,,,,,22.0,298.0,60.0,7.2,3573.0,15.0,84.2,169.0,34.0,42.0,8.0,39.0,244.0,,,
Vikings,,495.0,,,,,,,,78T,,,,,,,,,,,,,,,33.0,307.0,62.0,8.1,4019.0,18.0,94.7,193.0,39.0,57.0,13.0,35.0,187.0,,,
Browns,,483.0,,,,,,,,79,,,,,,,,,,,,,,,9.0,278.0,57.6,5.6,2728.0,19.0,63.4,110.0,22.8,25.0,3.0,40.0,283.0,,,
Raiders,,475.0,,,,,,,,84T,,,,,,,,,,,,,,,28.0,284.0,59.8,7.2,3430.0,11.0,92.0,177.0,37.3,42.0,8.0,28.0,124.0,,,
Titans,,462.0,,,,,,,,67,,,,,,,,,,,,,,,18.0,286.0,61.9,7.4,3430.0,16.0,83.2,167.0,36.2,41.0,6.0,27.0,164.0,,,
Bengals,,454.0,,,,,,,,46,,,,,,,,,,,,,,,6.0,207.0,45.6,4.9,2219.0,14.0,52.0,109.0,24.0,26.0,1.0,52.0,273.0,,,
Cowboys,,445.0,,,,,,,,76T,,,,,,,,,,,,,,,14.0,255.0,57.3,6.2,2771.0,21.0,66.6,128.0,28.8,33.0,6.0,35.0,249.0,,,
Steelers,,439.0,,,,,,,,77,,,,,,,,,,,,,,,12.0,217.0,49.4,6.2,2738.0,10.0,68.9,128.0,29.2,37.0,3.0,43.0,220.0,,,
Buccaneers,,433.0,,,,,,,,75,,,,,,,,,,,,,,,18.0,237.0,54.7,6.5,2824.0,13.0,76.2,144.0,33.3,38.0,5.0,38.0,241.0,,,
Dolphins,,421.0,,,,,,,,61,,,,,,,,,,,,,,,15.0,243.0,57.7,6.5,2720.0,17.0,72.2,122.0,29.0,32.0,8.0,28.0,153.0,,,
Ravens,,,,,,,,,,89,,,,,2.0,,713.0,,,45.0,,,,,,,,,,,,,,10.0,4.0,,,15.8,10.0,1.0
Rams,,,,,,,,,,86,,,,,1.0,,521.0,,,34.0,,,,,,,,,,,,,,10.0,2.0,,,15.3,18.0,5.0
Lions,,,,,,,,,,95,,,,,1.0,,472.0,,,33.0,,,,,,,,,,,,,,5.0,3.0,,,14.3,24.0,1.0
Dolphins,,,,,,,,,,81T,,,,,1.0,,518.0,,,39.0,,,,,,,,,,,,,,6.0,2.0,,,13.3,19.0,1.0
Seahawks,,,,,,,,,,43,,,,,0.0,,384.0,,,30.0,,,,,,,,,,,,,,5.0,3.0,,,12.8,14.0,3.0
Titans,,,,,,,,,,69,,,,,1.0,,671.0,,,53.0,,,,,,,,,,,,,,5.0,2.0,,,12.7,18.0,1.0
Patriots,,,,,,,,,,66,,,,,1.0,,562.0,,,45.0,,,,,,,,,,,,,,9.0,1.0,,,12.5,22.0,1.0
Steelers,,,,,,,,,,54T,,,,,1.0,,499.0,,,42.0,,,,,,,,,,,,,,7.0,2.0,,,11.9,20.0,2.0
Panthers,,,,,,,,,,64,,,,,1.0,,238.0,,,21.0,,,,,,,,,,,,,,4.0,1.0,,,11.3,12.0,3.0
Cowboys,,,,,,,,,,64,,,,,2.0,,364.0,,,35.0,,,,,,,,,,,,,,4.0,2.0,,,10.4,14.0,2.0
Eagles,,,,,,,,,,72,,,,,1.0,,335.0,,,33.0,,,,,,,,,,,,,,3.0,1.0,,,10.2,33.0,2.0
Browns,,,,,,,,,,30T,,,,,0.0,,294.0,,,29.0,,,,,,,,,,,,,,2.0,0.0,,,10.1,14.0,2.0
Broncos,,,,,,,,,,64T,,,,,0.0,,364.0,,,36.0,,,,,,,,,,,,,,4.0,1.0,,,10.1,12.0,4.0
Vikings,,,,,,,,,,63T,,,,,0.0,,261.0,,,26.0,,,,,,,,,,,,,,3.0,1.0,,,10.0,28.0,2.0
Redskins,,,,,,,,,,57,,,,,0.0,,356.0,,,36.0,,,,,,,,,,,,,,4.0,2.0,,,9.9,13.0,4.0
Raiders,,,,,,,,,,36T,,,,,0.0,,357.0,,,37.0,,,,,,,,,,,,,,5.0,0.0,,,9.6,13.0,2.0
Falcons,,,,,,,,,,70,,,,,1.0,,348.0,,,37.0,,,,,,,,,,,,,,3.0,2.0,,,9.4,20.0,2.0
Colts,,,,,,,,,,40T,,,,,0.0,,352.0,,,38.0,,,,,,,,,,,,,,3.0,1.0,,,9.3,14.0,3.0
Bears,,,,,,,,,,25T,,,,,0.0,,314.0,,,36.0,,,,,,,,,,,,,,1.0,0.0,,,8.7,27.0,3.0
Buccaneers,,,,,,,,,,73,,,,,1.0,,337.0,,,39.0,,,,,,,,,,,,,,2.0,2.0,,,8.6,19.0,3.0
Packers,,,,,,,,,,43T,,,,,0.0,,300.0,,,35.0,,,,,,,,,,,,,,3.0,1.0,,,8.6,26.0,5.0
Bengals,,,,,,,,,,82,,,,,1.0,,357.0,,,42.0,,,,,,,,,,,,,,3.0,1.0,,,8.5,15.0,5.0
Saints,,,,,,,,,,51T,,,,,0.0,,339.0,,,40.0,,,,,,,,,,,,,,2.0,1.0,,,8.5,17.0,1.0
49ers,,,,,,,,,,25T,,,,,0.0,,220.0,,,26.0,,,,,,,,,,,,,,3.0,0.0,,,8.5,13.0,1.0
Giants,,,,,,,,,,31,,,,,0.0,,332.0,,,40.0,,,,,,,,,,,,,,3.0,0.0,,,8.3,20.0,4.0
Chiefs,,,,,,,,,,26T,,,,,0.0,,295.0,,,37.0,,,,,,,,,,,,,,2.0,0.0,,,8.0,12.0,2.0
Jets,,,,,,,,,,19T,,,,,0.0,,276.0,,,38.0,,,,,,,,,,,,,,0.0,0.0,,,7.3,19.0,2.0
Jaguars,,,,,,,,,,22T,,,,,0.0,,333.0,,,46.0,,,,,,,,,,,,,,2.0,0.0,,,7.2,19.0,3.0
Cardinals,,,,,,,,,,25T,,,,,0.0,,223.0,,,32.0,,,,,,,,,,,,,,2.0,0.0,,,7.0,11.0,4.0
Chargers,,,,,,,,,,35T,,,,,0.0,,272.0,,,44.0,,,,,,,,,,,,,,1.0,0.0,,,6.2,17.0,6.0
Bills,,,,,,,,,,20T,,,,,0.0,,190.0,,,38.0,,,,,,,,,,,,,,1.0,0.0,,,5.0,23.0,4.0
Broncos,31.0,36.0,86.1,0_0,11_11,8_8,13_10,0_0,0_0,50,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravens,30.0,35.0,85.7,0_0,16_16,10_9,9_5,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers,30.0,44.0,68.2,0_0,7_7,20_15,15_6,0_0,0_0,55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chargers,30.0,43.0,69.8,0_0,19_17,12_7,9_5,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcons,29.0,37.0,78.4,1_1,8_8,15_14,9_4,0_0,0_0,55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colts,28.0,34.0,82.4,0_0,8_7,6_6,16_12,0_0,0_0,52,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneers,28.0,35.0,80.0,0_0,12_11,10_10,10_7,0_0,0_0,49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiefs,27.0,35.0,77.1,0_0,11_9,10_9,12_8,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saints,27.0,31.0,87.1,0_0,7_7,11_11,12_8,0_0,0_0,50,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bears,26.0,31.0,83.9,0_0,7_6,8_7,16_13,0_0,0_0,48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders,26.0,32.0,81.2,0_0,9_8,11_10,10_7,0_0,0_0,52,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles,26.0,31.0,83.9,1_1,9_9,8_7,10_7,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redskins,26.0,33.0,78.8,0_0,8_8,11_8,12_8,0_0,0_0,55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patriots,24.0,30.0,80.0,1_1,8_8,8_7,12_7,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jets,24.0,31.0,77.4,1_1,8_8,7_5,9_7,0_0,0_0,53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panthers,23.0,28.0,82.1,0_0,10_10,4_4,9_7,0_0,0_0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rams,23.0,29.0,79.3,0_0,11_11,5_5,12_6,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giants,23.0,30.0,76.7,0_0,8_8,8_7,7_6,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns,22.0,25.0,88.0,0_0,10_10,9_8,6_4,0_0,0_0,48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboys,22.0,33.0,66.7,0_0,8_8,11_9,13_5,0_0,0_0,46,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lions,21.0,30.0,70.0,1_1,2_2,8_8,12_6,0_0,0_0,54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinals,21.0,26.0,80.8,2_2,9_9,6_4,8_5,0_0,0_0,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packers,20.0,31.0,64.5,0_0,4_3,10_9,14_7,0_0,0_0,54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titans,20.0,28.0,71.4,0_0,6_6,5_5,15_8,0_0,0_0,51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seahawks,20.0,32.0,62.5,0_0,8_7,5_4,14_6,0_0,0_0,54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins,19.0,21.0,90.5,1_1,8_8,8_8,4_2,0_0,0_0,46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
